year,yield_kwh,self_consumed_kwh,exported_kwh,elec_price_ct_kwh,self_consumption_eur,feedin_eur,total_revenue_eur,opex_eur,net_cashflow_eur,discount_factor,discounted_cf_eur,cumulative_cashflow_eur
1,510035.0,306021.0,204014.0,22.95,70232.0,16546.0,86777.0,11250.0,75527.0,0.943396,71252.0,-331873.0
2,507995.0,304797.0,203198.0,23.409,71350.0,16479.0,87829.0,11475.0,76354.0,0.889996,67955.0,-255519.0
3,505963.0,303578.0,202385.0,23.877,72486.0,16413.0,88899.0,11704.0,77195.0,0.839619,64814.0,-178324.0
4,503939.0,302363.0,201576.0,24.355,73640.0,16348.0,89988.0,11939.0,78049.0,0.792094,61822.0,-100275.0
5,501923.0,301154.0,200769.0,24.842,74812.0,16282.0,91095.0,12177.0,78918.0,0.747258,58972.0,-21357.0
6,499916.0,299949.0,199966.0,25.339,76003.0,16217.0,92220.0,12421.0,79799.0,0.704961,56255.0,58442.0
7,497916.0,298750.0,199166.0,25.845,77213.0,16152.0,93365.0,12669.0,80696.0,0.665057,53667.0,139138.0
8,495924.0,297555.0,198370.0,26.362,78442.0,16088.0,94530.0,12923.0,81607.0,0.627412,51201.0,220745.0
9,493941.0,296364.0,197576.0,26.89,79691.0,16023.0,95715.0,13181.0,82534.0,0.591898,48852.0,303279.0
10,491965.0,295179.0,196786.0,27.427,80960.0,15959.0,96919.0,13445.0,83474.0,0.558395,46611.0,386753.0
11,489997.0,293998.0,195999.0,27.976,82249.0,15896.0,98144.0,13714.0,84430.0,0.526788,44477.0,471183.0
12,488037.0,292822.0,195215.0,28.535,83558.0,15832.0,99390.0,13988.0,85402.0,0.496969,42442.0,556585.0
13,486085.0,291651.0,194434.0,29.106,84888.0,15769.0,100657.0,14268.0,86389.0,0.468839,40503.0,642974.0
14,484140.0,290484.0,193656.0,29.688,86240.0,15706.0,101945.0,14553.0,87392.0,0.442301,38654.0,730366.0
15,482204.0,289322.0,192882.0,30.282,87613.0,15643.0,103255.0,14844.0,88411.0,0.417265,36891.0,818777.0
16,480275.0,288165.0,192110.0,30.888,89007.0,15580.0,104588.0,15141.0,89447.0,0.393646,35210.0,908224.0
17,478354.0,287012.0,191342.0,31.505,90424.0,15518.0,105942.0,15444.0,90498.0,0.371364,33608.0,998722.0
18,476441.0,285864.0,190576.0,32.136,91864.0,15456.0,107320.0,15753.0,91567.0,0.350344,32080.0,1090289.0
19,474535.0,284721.0,189814.0,32.778,93327.0,15394.0,108720.0,16068.0,92652.0,0.330513,30623.0,1182941.0
20,472637.0,283582.0,189055.0,33.434,94812.0,15332.0,110145.0,16389.0,93756.0,0.311805,29234.0,1276697.0
