year,price_ct_kwh,source
2018,18.9,historical
2019,19.4,historical
2020,19.8,historical
2021,21.2,historical
2022,29.8,historical
2023,24.1,historical
2024,22.5,historical
2025,22.95,projected
2026,23.409,projected
2027,23.877,projected
2028,24.355,projected
2029,24.842,projected
2030,25.339,projected
2031,25.845,projected
2032,26.362,projected
2033,26.89,projected
2034,27.427,projected
2035,27.976,projected
2036,28.535,projected
2037,29.106,projected
2038,29.688,projected
2039,30.282,projected
2040,30.888,projected
2041,31.505,projected
2042,32.136,projected
2043,32.778,projected
2044,33.434,projected
