time,GHI_Wm2,sun_height,temp_air_C,wind_speed,interpolated
2020-01-01 00:10:00,0.0,0.0,1.63,2.0,0.0
2020-01-01 01:10:00,0.0,0.0,0.9,2.07,0.0
2020-01-01 02:10:00,0.0,0.0,0.53,2.48,0.0
2020-01-01 03:10:00,0.0,0.0,-0.03,2.62,0.0
2020-01-01 04:10:00,0.0,0.0,-0.35,2.48,0.0
2020-01-01 05:10:00,0.0,0.0,-0.54,2.55,0.0
2020-01-01 06:10:00,0.0,0.0,-0.74,2.62,0.0
2020-01-01 07:10:00,0.0,0.0,-0.79,2.9,0.0
2020-01-01 08:10:00,33.96,3.2,-0.57,3.03,0.0
2020-01-01 09:10:00,220.18,9.12,0.12,3.24,0.0
2020-01-01 10:10:00,315.27,13.28,1.29,3.1,0.0
2020-01-01 11:10:00,383.72,15.33,2.56,3.24,0.0
2020-01-01 12:10:00,389.15,15.08,3.42,2.97,0.0
2020-01-01 13:10:00,315.31,12.56,3.92,2.69,0.0
2020-01-01 14:10:00,195.55,7.99,3.6,2.76,0.0
2020-01-01 15:10:00,0.0,0.0,2.62,2.9,0.0
2020-01-01 16:10:00,0.0,0.0,1.55,2.97,0.0
2020-01-01 17:10:00,0.0,0.0,0.89,3.03,0.0
2020-01-01 18:10:00,0.0,0.0,0.59,3.17,0.0
2020-01-01 19:10:00,0.0,0.0,0.6,3.66,0.0
2020-01-01 20:10:00,0.0,0.0,0.52,3.72,0.0
2020-01-01 21:10:00,0.0,0.0,0.39,3.52,0.0
2020-01-01 22:10:00,0.0,0.0,0.23,3.24,0.0
2020-01-01 23:10:00,0.0,0.0,0.0,3.03,0.0
2020-01-02 00:10:00,0.0,0.0,-0.24,2.97,0.0
2020-01-02 01:10:00,0.0,0.0,-0.45,2.97,0.0
2020-01-02 02:10:00,0.0,0.0,-0.57,2.9,0.0
2020-01-02 03:10:00,0.0,0.0,-0.61,2.97,0.0
2020-01-02 04:10:00,0.0,0.0,-0.74,2.97,0.0
2020-01-02 05:10:00,0.0,0.0,-0.68,3.03,0.0
2020-01-02 06:10:00,0.0,0.0,-0.58,3.1,0.0
2020-01-02 07:10:00,0.0,0.0,-1.43,3.38,0.0
2020-01-02 08:10:00,9.94,3.22,-1.09,3.52,0.0
2020-01-02 09:10:00,63.0,9.16,-0.2,3.17,0.0
2020-01-02 10:10:00,96.78,13.34,0.72,3.31,0.0
2020-01-02 11:10:00,122.71,15.41,1.73,3.31,0.0
2020-01-02 12:10:00,112.15,15.18,2.56,3.66,0.0
2020-01-02 13:10:00,174.52,12.67,3.07,3.93,0.0
2020-01-02 14:10:00,69.38,8.11,3.4,4.07,0.0
2020-01-02 15:10:00,0.0,0.0,3.46,4.28,0.0
